POLE TYPE,LIGHT PRESENT,SIDE OF ROAD,ELEVATION,latitude,longitude,GeoLocation
Metal,Yes,Right,37.864,30.40004131,-91.11106652,"(30.40004131, -91.11106652)"
Metal,Yes,Right,23.471,30.38793699,-91.09981147,"(30.38793699, -91.09981147)"
Metal,Yes,Right,32.795,30.3421506,-91.01528026,"(30.3421506, -91.01528026)"
Metal,Yes,Right,41.666,30.39410133,-90.98029905,"(30.39410133, -90.98029905)"
Wood,Yes,Left,55.406,30.44747575,-91.11827211,"(30.44747575, -91.11827211)"
Wood,Yes,Right,50.639,30.43281682,-91.05314755,"(30.43281682, -91.05314755)"
Wood,Yes,Right,51.591,30.43830591,-91.08372269,"(30.43830591, -91.08372269)"
Metal,Yes,Right,60.849,30.50607469,-91.09456268,"(30.50607469, -91.09456268)"
Wood,Yes,Right,65.544,30.52310302,-91.17493389,"(30.52310302, -91.17493389)"
Wood,Yes,Right,62.004,30.45892296,-91.15746178,"(30.45892296, -91.15746178)"
Wood,Yes,Right,67.001,30.45755987,-91.15718931,"(30.45755987, -91.15718931)"
Metal,Yes,Right,24.402,30.31327621,-91.11836364,"(30.31327621, -91.11836364)"
Metal,Yes,Right,23.536,30.31313547,-91.1178615,"(30.31313547, -91.1178615)"
Metal,Yes,Right,24.291,30.3135813,-91.11614496,"(30.3135813, -91.11614496)"
Metal,Yes,Right,23.654,30.31403653,-91.11603839,"(30.31403653, -91.11603839)"
Metal,Yes,Right,24.091,30.31450903,-91.11597757,"(30.31450903, -91.11597757)"
Metal,Yes,Right,22.188,30.31540996,-91.11603062,"(30.31540996, -91.11603062)"
Metal,Yes,Right,21.653,30.3163682,-91.11616807,"(30.3163682, -91.11616807)"
Metal,Yes,Right,21.266,30.31687987,-91.11618816,"(30.31687987, -91.11618816)"
Metal,Yes,Right,22.211,30.31741827,-91.11624857,"(30.31741827, -91.11624857)"
Metal,Yes,Right,22.539,30.31782354,-91.11323764,"(30.31782354, -91.11323764)"
Metal,Yes,Right,22.627,30.31741504,-91.11297097,"(30.31741504, -91.11297097)"
Metal,Yes,Right,21.666,30.31670762,-91.11264975,"(30.31670762, -91.11264975)"
Metal,Yes,Right,22.23,30.31583319,-91.1126103,"(30.31583319, -91.1126103)"
Metal,Yes,Right,22.755,30.31564348,-91.11357924,"(30.31564348, -91.11357924)"
Metal,Yes,Left,34.301,30.31518924,-91.11354396,"(30.31518924, -91.11354396)"
Metal,Yes,Right,21.587,30.3172601,-91.11354044,"(30.3172601, -91.11354044)"
Metal,Yes,Right,21.614,30.31759846,-91.11441569,"(30.31759846, -91.11441569)"
Metal,Yes,Right,23.218,30.31528498,-91.11308317,"(30.31528498, -91.11308317)"
Metal,Yes,Right,22.509,30.31612431,-91.11248136,"(30.31612431, -91.11248136)"
Metal,Yes,Right,21.076,30.31702691,-91.11268033,"(30.31702691, -91.11268033)"
Metal,Yes,Median,24.097,30.31827716,-91.11351671,"(30.31827716, -91.11351671)"
Metal,Yes,Right,20.928,30.31934602,-91.1098047,"(30.31934602, -91.1098047)"
Metal,Yes,Right,24.127,30.31766005,-91.10942061,"(30.31766005, -91.10942061)"
Metal,Yes,Right,21.981,30.31824148,-91.10953713,"(30.31824148, -91.10953713)"
Metal,Yes,Right,21.266,30.31879684,-91.10962428,"(30.31879684, -91.10962428)"
Metal,Yes,Right,22.798,30.31874417,-91.10804125,"(30.31874417, -91.10804125)"
Metal,Yes,Right,24.294,30.31836823,-91.10780909,"(30.31836823, -91.10780909)"
Metal,Yes,Right,22.198,30.31921532,-91.1080905,"(30.31921532, -91.1080905)"
Metal,Yes,Right,20.915,30.3198288,-91.10832392,"(30.3198288, -91.10832392)"
Metal,Yes,Right,21.053,30.31977572,-91.10898787,"(30.31977572, -91.10898787)"
Metal,Yes,Right,21.876,30.31972533,-91.1096511,"(30.31972533, -91.1096511)"
Metal,Yes,Right,21.095,30.31966472,-91.11032461,"(30.31966472, -91.11032461)"
Metal,Yes,Right,20.364,30.3196118,-91.11080034,"(30.3196118, -91.11080034)"
Metal,Yes,Right,21.538,30.31899547,-91.11315378,"(30.31899547, -91.11315378)"
Metal,Yes,Right,27.102,30.31477078,-91.12531718,"(30.31477078, -91.12531718)"
Metal,Yes,Right,23.52,30.31529132,-91.12379966,"(30.31529132, -91.12379966)"
Metal,Yes,Right,25.475,30.3143245,-91.12001891,"(30.3143245, -91.12001891)"
Metal,Yes,Right,24.333,30.31392797,-91.12009753,"(30.31392797, -91.12009753)"
Metal,Yes,Right,25.032,30.31358074,-91.11971161,"(30.31358074, -91.11971161)"
Metal,Yes,Right,24.097,30.31312746,-91.11687426,"(30.31312746, -91.11687426)"
Metal,Yes,Right,24.248,30.31315048,-91.11587058,"(30.31315048, -91.11587058)"
Metal,Yes,Right,27.247,30.31317816,-91.11536196,"(30.31317816, -91.11536196)"
Metal,Yes,Right,24.566,30.31357477,-91.11488304,"(30.31357477, -91.11488304)"
Metal,Yes,Right,24.458,30.31394334,-91.11441138,"(30.31394334, -91.11441138)"
Metal,Yes,Left,26.512,30.31354566,-91.12013366,"(30.31354566, -91.12013366)"
Metal,Yes,Right,24.973,30.31464577,-91.11439153,"(30.31464577, -91.11439153)"
Metal,Yes,Right,22.188,30.31512038,-91.11456529,"(30.31512038, -91.11456529)"
Metal,Yes,Right,22.145,30.31549722,-91.11467416,"(30.31549722, -91.11467416)"
Metal,Yes,Right,23.064,30.31716129,-91.11579793,"(30.31716129, -91.11579793)"
Metal,Yes,Left,27.716,30.31722771,-91.11514966,"(30.31722771, -91.11514966)"
Metal,Yes,Right,25.144,30.31328342,-91.11621738,"(30.31328342, -91.11621738)"
Metal,Yes,Right,23.297,30.31506909,-91.11494594,"(30.31506909, -91.11494594)"
Metal,Yes,Right,21.266,30.31504805,-91.11542011,"(30.31504805, -91.11542011)"
Metal,Yes,Right,21.354,30.31502662,-91.11591019,"(30.31502662, -91.11591019)"
Metal,Yes,Right,20.387,30.31586362,-91.11596547,"(30.31586362, -91.11596547)"
Metal,Yes,Right,30.104,30.31589367,-91.11540785,"(30.31589367, -91.11540785)"
Metal,Yes,Right,23.244,30.31319841,-91.11733088,"(30.31319841, -91.11733088)"
Metal,Yes,Right,24.458,30.31355655,-91.11875618,"(30.31355655, -91.11875618)"
Metal,Yes,Right,23.585,30.31369966,-91.11922648,"(30.31369966, -91.11922648)"
Metal,Yes,Right,24.921,30.31456229,-91.1199198,"(30.31456229, -91.1199198)"
Metal,Yes,Right,25.692,30.31502657,-91.12246465,"(30.31502657, -91.12246465)"
Metal,Yes,Right,24.789,30.31583511,-91.12193798,"(30.31583511, -91.12193798)"
Metal,Yes,Right,22.483,30.316504,-91.12321237,"(30.316504, -91.12321237)"
Metal,Yes,Right,22.732,30.31685062,-91.12343867,"(30.31685062, -91.12343867)"
Metal,Yes,Right,24.524,30.31761639,-91.12404961,"(30.31761639, -91.12404961)"
Metal,Yes,Right,24.281,30.31784899,-91.12431703,"(30.31784899, -91.12431703)"
Metal,Unknown,Left,26.66,30.31812491,-91.12471075,"(30.31812491, -91.12471075)"
Metal,Yes,Right,24.937,30.31692812,-91.12292079,"(30.31692812, -91.12292079)"
Metal,Yes,Right,24.645,30.31731462,-91.1225763,"(30.31731462, -91.1225763)"
Metal,Unknown,Left,29.179,30.31768452,-91.12215001,"(30.31768452, -91.12215001)"
Metal,Yes,Right,23.533,30.31720834,-91.12375473,"(30.31720834, -91.12375473)"
Metal,Unknown,Left,27.601,30.31591717,-91.12395834,"(30.31591717, -91.12395834)"
Metal,Yes,Right,25.816,30.31616294,-91.12359278,"(30.31616294, -91.12359278)"
Metal,Yes,Right,23.812,30.31502969,-91.12422424,"(30.31502969, -91.12422424)"
Metal,Yes,Right,24.878,30.31552143,-91.12328491,"(30.31552143, -91.12328491)"
Metal,Yes,Right,23.179,30.31680394,-91.12220601,"(30.31680394, -91.12220601)"
Metal,Yes,Right,22.89,30.3173991,-91.12138451,"(30.3173991, -91.12138451)"
Metal,Yes,Right,23.234,30.31790026,-91.12028813,"(30.31790026, -91.12028813)"
Metal,Yes,Right,24.347,30.31819364,-91.11913925,"(30.31819364, -91.11913925)"
Metal,Yes,Right,30.104,30.3182744,-91.11804047,"(30.3182744, -91.11804047)"
Metal,Yes,Right,24.353,30.31817895,-91.11683543,"(30.31817895, -91.11683543)"
Metal,Yes,Right,24.314,30.31822985,-91.11556274,"(30.31822985, -91.11556274)"
